"Summary","Description","Priority","Labels","Issue Type"
"US_023: Bir ynetici olarak API balants zerinden yeni bir product kayd olusturabilmek istiyorum.","**Role:** Product
**Acceptance Criteria:**
- ""/api/addProduct endpoint'ine gecerli authorization bilgileri ve dogru datalar (type, price, category_id, title, summary, description) iceren bir POST body gnderildiginde dnen status code'in 200, response body'deki remark bilgisinin """"success"""" ve Message bilgisinin de """"Successfully Added."""" oldugu dogrulanmali.""
- ""/api/addProduct endpoint'ine gecerli authorization bilgileri ve data icermeyen bir POST request gnderildiginde dnen status code'in 422 oldugu ve response body'deki message bilgisinin """"The type field is required. (and 3 more errors)"""" oldugu dogrulanmali""
- ""/api/addProduct endpoint'ine gecersiz (invalid token) authorization bilgileri ile dogru datalar (type, price, category_id, title, summary, description) iceren bir POST body gnderildiginde dnen status code'in 401 oldugu ve response body'deki message bilgisinin """"Unauthenticated."""" oldugu dogrulanmali""
- ""API uzerinden olusturulmak istenen yeni product kaydinin olustugu API uzerinden dogrulanmali. 
(Response bodyde dnen Added Product ID ile /api/product/{id} endpoint'ine GET request gnderilerek kayt oluturulduu dorulanabilir.)""","High","Product","Story"
"US_024: Bir ynetici olarak API baglantisi zerinden belirtilen id numarasna sahip product'in bilgilerini gncelleyebilmek istiyorum.","**Role:** Product
**Acceptance Criteria:**
- ""/api/updateProduct/{id} endpoint'ine gecerli authorization bilgileri ile dogru (id) ve dogru datalar (type, price, category_id, title, summary, description) iceren bir PATCH body gnderildiginde dnen status code'in 200, response body'deki remark bilgisinin """"success"""" ve Message bilgisinin de """"Successfully Updated."""" oldugu dogrulanmali.""
- ""/api/updateProduct/{id} endpoint'ine gecerli authorization bilgileri ile dogru (id) ve data icermeyen bir PATCH request gnderildiginde dnen status code'in 203, response body'deki remark bilgisinin """"failed"""" ve message bilgisinin de """"There is no information to update."""" oldugu dogrulanmali.""
- ""/api/updateProduct/{id} endpoint'ine gecerli authorization bilgileri ile kayd olmayan bir (id) ve dogru datalar (type, price, category_id, title, summary, description) iceren bir PATCH body gnderildiginde dnen status code'in 203, response body'deki remark bilgisinin """"failed"""" ve message bilgisinin de """"There is not product for this id."""" oldugu, (id) icermeyen ve dogru datalar (type, price, category_id, title, summary, description) iceren bir PATCH body gnderildiginde de dnen status code'in 203, response body'deki remark bilgisinin """"failed"""" ve message bilgisinin de """"No id"""" oldugu dogrulanmali.""
- ""/api/updateProduct/{id} endpoint'ine gecersiz (invalid token) authorization bilgileri ile dogru (id) ve dogru datalar (type, price, category_id, title, summary, description) iceren bir PATCH body gnderildiginde dnen status code'in 401 oldugu ve response body'deki message bilgisinin """"Unauthenticated."""" oldugu dogrulanmali""
- /api/updateProduct/{id} endpoint'inden donen response body icindeki Updated Product ID bilgisinin /api/updateProduct/{id} endpoint'inde yazan id path parametresi ile ayni oldugu dogrulanmali.
- ""API uzerinden gncellenmek istenen product kaydinin gncellendigi, API uzerinden dogrulanmali.
(Response body'de dnen Updated Product ID ile /api/product/{id} endpoint'ine GET request gnderilerek kaydn gncellendii dorulanabilir.)""","High","Product","Story"
"US_025: Bir ynetici olarak API baglantisi zerinden belirtilen id numarasna sahip product bilgilerini silebilmek istiyorum.","**Role:** Product
**Acceptance Criteria:**
- ""/api/deleteProduct/{id} endpoint'ine gecerli authorization bilgileri ve dogru (id) iceren bir DELETE request gnderildiginde dnen status code'in 200, response body'deki remark bilgisinin """"success"""" ve Message bilgisinin de """"Successfully Deleted."""" oldugu dogrulanmali.""
- ""/api/deleteProduct/{id} endpoint'ine gecerli authorization bilgileri ve kayd olmayan bir (id) iceren bir DELETE request gnderildiginde dnen status code'in 203, response body'deki remark bilgisinin """"failed"""" ve message bilgisinin de """"There is not product for this id."""" oldugu, (id) icermeyen bir DELETE request gnderildiginde de dnen status code'in 203, response body'deki remark bilgisinin """"failed"""" ve message bilgisinin de """"No id"""" oldugu dogrulanmali.""
- ""/api/deleteProduct/{id} endpoint'ine gecersiz (invalid token) authorization bilgileri ile dogru (id) iceren bir DELETE request gnderildiginde dnen status code'in 401 oldugu ve response body'deki message bilgisinin """"Unauthenticated."""" oldugu dogrulanmali""
- /api/deleteProduct/{id} endpoint'inden donen response body icindeki Deleted Product Id bilgisinin /api/deleteProduct/{id} endpoint'inde yazan id path parametresi ile ayni oldugu dogrulanmali.
- ""API uzerinden silinmek istenen product kaydinin silindigi, API uzerinden dogrulanmali.
(Response body'de dnen Deleted Product Id ile /api/product/{id} endpoint'ine GET request gnderilerek kaydn silindii dorulanabilir.)""","High","Product","Story"
"US_026: Bir ynetici olarak API balants zerinden product categories'e eriebilmek istiyorum.","**Role:** Product Categories
**Acceptance Criteria:**
- ""/api/productCategories endpoint'ine gecerli authorization bilgileri ile bir GET request gnderildiginde dnen status code'in 200 ve response body'deki remark bilgisinin """"success"""" oldugu dogrulanmali.""
- id(x) olaninin response body'de donen bilgileri (parent_id, icon, order, title, id, product_category_id, locale, title) dorulanmal.
- ""/api/productCategories endpoint'ine gecersiz (invalid token) authorization bilgileri ile bir GET request gnderildiginde dnen status code'in 401 ve response body'deki message bilgisinin """"Unauthenticated."""" oldugu dogrulanmali.""","Medium","Product Categories","Story"
"US_027: Bir ynetici olarak API baglantisi zerinden belirtilen id numarasna sahip product category'in detayl bilgilerine erisebilmeliyim.","**Role:** Product Categories
**Acceptance Criteria:**
- ""/api/productCategory/{id} endpoint'ine gecerli authorization bilgileri ve dogru data (id) iceren bir GET request gnderildiginde dnen status code'in 200 ve response body'deki remark bilgisinin """"success"""" oldugu dogrulanmali.""
- Response body icindeki list datalarnn (id, parent_id, icon, order, title, id, product_category_id, locale, title) ierikleri dorulanmali.
- ""/api/productCategory/{id} endpoint'ine gecerli authorization bilgileri ve kayd olmayan bir (id) iceren bir GET request gnderildiginde dnen status code'in 203, response body'deki remark bilgisinin """"failed"""" ve message bilgisinin de """"There is not product category for this id."""" oldugu, (id) icermeyen bir GET request gnderildiginde de dnen status code'un 203, response body'deki remark bilgisinin """"failed"""" ve message bilgisinin de """"No id"""" oldugu dogrulanmali.""
- ""/api/productCategory/{id} endpoint'ine gecersiz (invalid token) authorization bilgileri ve dogru data (id) iceren bir GET request gnderildiginde dnen status code'in 401 ve response body'deki message bilgisinin """"Unauthenticated."""" oldugu dogrulanmali.""","Low","Product Categories","Story"
"US_028: Bir ynetici olarak API balants zerinden yeni bir product category kayd olusturabilmek istiyorum.","**Role:** Product Categories
**Acceptance Criteria:**
- ""/api/addProductCategory endpoint'ine gecerli authorization bilgileri ve dogru data (title) iceren bir POST body gnderildiginde dnen status code'in 200, response body'deki remark bilgisinin """"success"""" ve Message bilgisinin de """"Successfully Added."""" oldugu dogrulanmali.""
- ""/api/addProductCategory endpoint'ine gecerli authorization bilgileri ve data icermeyen bir POST request gnderildiginde dnen status code'in 422 oldugu ve response body'deki message bilgisinin """"The title field is required."""" oldugu dogrulanmali""
- ""/api/addProductCategory endpoint'ine gecersiz (invalid token) authorization bilgileri ile dogru data (title) iceren bir POST body gnderildiginde dnen status code'in 401 oldugu ve response body'deki message bilgisinin """"Unauthenticated."""" oldugu dogrulanmali""
- ""API uzerinden olusturulmak istenen yeni product category kaydinin olustugu API uzerinden dogrulanmali. 
(Response bodyde dnen Added Category ID ile /api/productCategory/{id} endpoint'ine GET request gnderilerek kayt oluturulduu dorulanabilir.)""","High","Product Categories","Story"
"US_029: Bir ynetici olarak API baglantisi zerinden belirtilen id numarasna sahip product category'in bilgilerini gncelleyebilmek istiyorum.","**Role:** Product Categories
**Acceptance Criteria:**
- ""/api/updateProductCategory/{id} endpoint'ine gecerli authorization bilgileri ile dogru (id) ve dogru data (title) iceren bir PATCH body gnderildiginde dnen status code'in 200, response body'deki remark bilgisinin """"success"""" ve Message bilgisinin de """"Successfully Updated."""" oldugu dogrulanmali.""
- ""/api/updateProductCategory/{id} endpoint'ine gecerli authorization bilgileri ile dogru (id) ve data icermeyen bir PATCH request gnderildiginde dnen status code'in 203 ve response body'deki remark bilgisinin """"failed"""" ve mesaj bilgisinin de """"There is no information to update."""" oldugu dogrulanmali.""
- ""/api/updateProductCategory/{id} endpoint'ine gecerli authorization bilgileri ile kayd olmayan bir (id) ve dogru data (title) iceren bir PATCH body gnderildiginde dnen status code'in 203, response body'deki remark bilgisinin """"failed"""" ve message bilgisinin de """"There is not product category for this id."""" oldugu, (id) icermeyen ve dogru data (title) iceren bir PATCH body gnderildiginde de dnen status code'in 203, response body'deki remark bilgisinin """"failed"""" ve message bilgisinin de """"No id"""" oldugu dogrulanmali.""
- ""/api/updateProductCategory/{id} endpoint'ine gecersiz (invalid token) authorization bilgileri ile dogru (id) ve dogru data (title) iceren bir PATCH body gnderildiginde dnen status code'in 401 oldugu ve response body'deki message bilgisinin """"Unauthenticated."""" oldugu dogrulanmali""
- /api/updateProductCategory/{id} endpoint'inden donen response body icindeki Updated Category Id bilgisinin /api/updateProductCategory/{id} endpoint'inde yazan id path parametresi ile ayni oldugu dogrulanmali.
- ""API uzerinden gncellenmek istenen product category kaydinin gncellendigi, API uzerinden dogrulanmali.
(Response body'de dnen Updated Category Id ile /api/productCategory/{id} endpoint'ine GET request gnderilerek kaydn gncellendii dorulanabilir.)""","High","Product Categories","Story"
"US_030: Bir ynetici olarak API baglantisi zerinden belirtilen id numarasna sahip product category bilgilerini silebilmek istiyorum.","**Role:** Product Categories
**Acceptance Criteria:**
- ""/api/deleteProductCategory/{id} endpoint'ine gecerli authorization bilgileri ve dogru (id) iceren bir DELETE request gnderildiginde dnen status code'in 200, response body'deki remark bilgisinin """"success"""" ve Message bilgisinin de """"Successfully Deleted."""" oldugu dogrulanmali.""
- ""/api/deleteProductCategory/{id} endpoint'ine gecerli authorization bilgileri ve kayd olmayan bir (id) iceren bir DELETE request gnderildiginde dnen status code'in 203, response body'deki remark bilgisinin """"failed"""" ve message bilgisinin de """"There is not product category for this id."""" oldugu, (id) icermeyen bir DELETE request gnderildiginde de dnen status code'in 203, response body'deki remark bilgisinin """"failed"""" ve message bilgisinin de """"No id"""" oldugu dogrulanmali.""
- ""/api/deleteProductCategory/{id} endpoint'ine gecersiz (invalid token) authorization bilgileri ile dogru (id) iceren bir DELETE request gnderildiginde dnen status code'in 401 oldugu ve response body'deki message bilgisinin """"Unauthenticated."""" oldugu dogrulanmali""
- /api/deleteProductCategory/{id} endpoint'inden donen response body icindeki Deleted Product Category Id bilgisinin /api/deleteProductCategory/{id} endpoint'inde yazan id path parametresi ile ayni oldugu dogrulanmali.
- ""API uzerinden silinmek istenen product category kaydinin silindigi, API uzerinden dogrulanmali.
(Response body'de dnen Deleted Product Category Id ile /api/productCategory/{id} endpoint'ine GET request gnderilerek kaydn silindii dorulanabilir.)""","High","Product Categories","Story"
"US_031: Bir ynetici olarak API balants zerinden product faqs'e eriebilmek istiyorum.","**Role:** Product FAQ
**Acceptance Criteria:**
- ""/api/productfaqs endpoint'ine gecerli authorization bilgileri ile bir GET request gnderildiginde dnen status code'in 200 ve response body'deki remark bilgisinin """"success"""" oldugu dogrulanmali.""
- id(x) olaninin response body'de donen bilgileri (creator_id, product_id, order, created_at, title, answer, id, product_faq_id, locale, title, answer) dorulanmal.
- ""/api/productfaqs endpoint'ine gecersiz (invalid token) authorization bilgileri ile bir GET request gnderildiginde dnen status code'in 401 ve response body'deki message bilgisinin """"Unauthenticated."""" oldugu dogrulanmali.""","Medium","Product FAQ","Story"
"US_032: Bir ynetici olarak API baglantisi zerinden belirtilen id numarasna sahip product faq'in detayl bilgilerine erisebilmeliyim.","**Role:** Product FAQ
**Acceptance Criteria:**
- ""/api/productfaq/{id} endpoint'ine gecerli authorization bilgileri ve dogru data (id) iceren bir GET request gnderildiginde dnen status code'in 200 ve response body'deki remark bilgisinin """"success"""" oldugu dogrulanmali.""
- Response body icindeki list datalarnn (id, creator_id, product_id, order, created_at, title, answer, id, product_faq_id, locale, title, answer) ierikleri dorulanmali.
- ""/api/productfaq/{id} endpoint'ine gecerli authorization bilgileri ve kayd olmayan bir (id) iceren bir GET request gnderildiginde dnen status code'in 203, response body'deki remark bilgisinin """"failed"""" ve message bilgisinin de """"There is not product faq for this id."""" oldugu, (id) icermeyen bir GET request gnderildiginde de dnen status code'un 203, response body'deki remark bilgisinin """"failed"""" ve message bilgisinin de """"No id"""" oldugu dogrulanmali.""
- ""/api/productfaq/{id} endpoint'ine gecersiz (invalid token) authorization bilgileri ve dogru data (id) iceren bir GET request gnderildiginde dnen status code'in 401 ve response body'deki message bilgisinin """"Unauthenticated."""" oldugu dogrulanmali.""","Low","Product FAQ","Story"
"US_033: Bir ynetici olarak API balants zerinden yeni bir product faq kayd olusturabilmek istiyorum.","**Role:** Product FAQ
**Acceptance Criteria:**
- ""/api/addProductfaq endpoint'ine gecerli authorization bilgileri ve dogru datalar (title, answer, product_id) iceren bir POST body gnderildiginde dnen status code'in 200, response body'deki remark bilgisinin """"success"""" ve Message bilgisinin de """"Successfully Added."""" oldugu dogrulanmali.""
- ""/api/addProductfaq endpoint'ine gecerli authorization bilgileri ve data icermeyen bir POST request gnderildiginde dnen status code'in 422 oldugu ve response body'deki message bilgisinin """"The product id field is required. (and 2 more errors)"""" oldugu dogrulanmali""
- ""/api/addProductfaq endpoint'ine gecersiz (invalid token) authorization bilgileri ile dogru datalar (title, answer, product_id) iceren bir POST body gnderildiginde dnen status code'in 401 oldugu ve response body'deki message bilgisinin """"Unauthenticated."""" oldugu dogrulanmali""
- ""API uzerinden olusturulmak istenen yeni product faq kaydinin olustugu API uzerinden dogrulanmali. 
(Response bodyde dnen Added Product Faq ID ile /api/productfaq/{id} endpoint'ine GET request gnderilerek kayt oluturulduu dorulanabilir.)""","High","Product FAQ","Story"
"US_034: Bir ynetici olarak API baglantisi zerinden belirtilen id numarasna sahip product faq'in bilgilerini gncelleyebilmek istiyorum.","**Role:** Product FAQ
**Acceptance Criteria:**
- ""/api/updateProductfaq/{id} endpoint'ine gecerli authorization bilgileri ile dogru (id) ve dogru datalar (title, answer, product_id) iceren bir PATCH body gnderildiginde dnen status code'in 200, response body'deki remark bilgisinin """"success"""" ve Message bilgisinin de """"Successfully Updated."""" oldugu dogrulanmali.""
- ""/api/updateProductfaq/{id} endpoint'ine gecerli authorization bilgileri ile dogru (id) ve data icermeyen bir PATCH request gnderildiginde dnen status code'in 203, response body'deki remark bilgisinin """"failed"""" ve message bilgisinin de """"There is no information to update."""" oldugu dogrulanmali.""
- ""/api/updateProductfaq/{id} endpoint'ine gecerli authorization bilgileri ile kayd olmayan bir (id) ve dogru datalar (title, answer, product_id) iceren bir PATCH body gnderildiginde dnen status code'in 203, response body'deki remark bilgisinin """"failed"""" ve message bilgisinin de """"There is not product faq for this id."""" oldugu, (id) icermeyen ve dogru datalar (title, answer, product_id) iceren bir PATCH body gnderildiginde de  dnen status code'in 203, response body'deki remark bilgisinin """"failed"""" ve message bilgisinin de """"No id"""" oldugu dogrulanmali.""
- ""/api/updateProductfaq/{id} endpoint'ine gecersiz (invalid token) authorization bilgileri ile dogru (id) ve dogru datalar (title, answer, product_id) iceren bir PATCH body gnderildiginde dnen status code'in 401 oldugu ve response body'deki message bilgisinin """"Unauthenticated."""" oldugu dogrulanmali""
- /api/updateProductfaq/{id} endpoint'inden donen response body icindeki updated Product Faq ID bilgisinin /api/updateProductfaq/{id} endpoint'inde yazan id path parametresi ile ayni oldugu dogrulanmali.
- ""API uzerinden gncellenmek istenen product faq kaydinin gncellendigi, API uzerinden dogrulanmali.
(Response body'de dnen updated Product Faq ID ile /api/productfaq/{id} endpoint'ine GET request gnderilerek kaydn gncellendii dorulanabilir.)""","High","Product FAQ","Story"
"US_035: Bir ynetici olarak API baglantisi zerinden belirtilen id numarasna sahip product faq bilgilerini silebilmek istiyorum.","**Role:** Product FAQ
**Acceptance Criteria:**
- ""/api/deleteProductfaq/{id} endpoint'ine gecerli authorization bilgileri ve dogru (id) iceren bir DELETE request gnderildiginde dnen status code'in 200, response body'deki remark bilgisinin """"success"""" ve Message bilgisinin de """"Successfully Deleted."""" oldugu dogrulanmali.""
- ""/api/deleteProductfaq/{id} endpoint'ine gecerli authorization bilgileri ve kayd olmayan bir (id) iceren bir DELETE request gnderildiginde dnen status code'in 203, response body'deki remark bilgisinin """"failed"""" ve message bilgisinin de """"There is not product faq for this id."""" oldugu, (id) icermeyen bir DELETE request gnderildiginde de dnen status code'in 203, response body'deki remark bilgisinin """"failed"""" ve message bilgisinin de """"No id"""" oldugu dogrulanmali.""
- ""/api/deleteProductfaq/{id} endpoint'ine gecersiz (invalid token) authorization bilgileri ile dogru (id) iceren bir DELETE request gnderildiginde dnen status code'in 401 oldugu ve response body'deki message bilgisinin """"Unauthenticated."""" oldugu dogrulanmali""
- /api/deleteProductfaq/{id} endpoint'inden donen response body icindeki Deleted Product Faq ID bilgisinin /api/deleteProductfaq/{id} endpoint'inde yazan id path parametresi ile ayni oldugu dogrulanmali.
- ""API uzerinden silinmek istenen product faq kaydinin silindigi, API uzerinden dogrulanmali.
(Response body'de dnen Deleted Product Faq ID ile /api/productfaq/{id} endpoint'ine GET request gnderilerek kaydn silindii dorulanabilir.)""","High","Product FAQ","Story"
"US_036: Bir ynetici olarak API balants zerinden blogs'a eriebilmek istiyorum.","**Role:** Blogs
**Acceptance Criteria:**
- ""/api/blogs endpoint'ine gecerli authorization bilgileri ile bir GET request gnderildiginde dnen status code'in 200 ve response body'deki remark bilgisinin """"success"""" oldugu dogrulanmali.""
- id(x) olaninin response body'de donen bilgileri (category_id, author_id, slug, image, visit_count, enable_comment, status, created_at, updated_at, comments_count) dorulanmal.
- ""/api/blogs endpoint'ine gecersiz (invalid token) authorization bilgileri ile bir GET request gnderildiginde dnen status code'in 401 ve response body'deki message bilgisinin """"Unauthenticated."""" oldugu dogrulanmali.""","Medium","Blogs","Story"
"US_037: Bir ynetici olarak API baglantisi zerinden belirtilen id numarasna sahip blog'un detayl bilgilerine erisebilmeliyim.","**Role:** Blogs
**Acceptance Criteria:**
- ""/api/blog/{id} endpoint'ine gecerli authorization bilgileri ve dogru data (id) iceren bir GET request gnderildiginde dnen status code'in 200 ve response body'deki remark bilgisinin """"success"""" oldugu dogrulanmali.""
- Response body icindeki list datalarnn (id, category_id, author_id, slug, image, visit_count, enable_comment, status, created_at, updated_at, id, blog_id, locale, title) ierikleri dorulanmali.
- ""/api/blog/{id} endpoint'ine gecerli authorization bilgileri ve kayd olmayan bir (id) iceren bir GET request gnderildiginde dnen status code'in 203, response body'deki remark bilgisinin """"failed"""" ve message bilgisinin de """"There is not blog for this id."""" oldugu, (id) icermeyen bir GET request gnderildiginde de dnen status code'un 203, response body'deki remark bilgisinin """"failed"""" ve message bilgisinin de """"No id"""" oldugu dogrulanmali.""
- ""/api/blog/{id} endpoint'ine gecersiz (invalid token) authorization bilgileri ve dogru data (id) iceren bir GET request gnderildiginde dnen status code'in 401 ve response body'deki message bilgisinin """"Unauthenticated."""" oldugu dogrulanmali.""","Low","Blogs","Story"
"US_038: Bir ynetici olarak API balants zerinden yeni bir blog kayd olusturabilmek istiyorum.","**Role:** Blogs
**Acceptance Criteria:**
- ""/api/addBlog endpoint'ine gecerli authorization bilgileri ve dogru datalar (title, category_id, description, content) iceren bir POST body gnderildiginde dnen status code'in 200, response body'deki remark bilgisinin """"success"""" ve Message bilgisinin de """"Successfully Added."""" oldugu dogrulanmali.""
- ""/api/addBlog endpoint'ine gecerli authorization bilgileri ve data icermeyen bir POST request gnderildiginde dnen status code'in 422 oldugu ve response body'deki message bilgisinin """"The title field is required. (and 3 more errors)"""" oldugu dogrulanmali""
- ""/api/addBlog endpoint'ine gecersiz (invalid token) authorization bilgileri ile dogru datalar (title, category_id, description, content) iceren bir POST body gnderildiginde dnen status code'in 401 oldugu ve response body'deki message bilgisinin """"Unauthenticated."""" oldugu dogrulanmali""
- ""API uzerinden olusturulmak istenen yeni blog kaydinin olustugu API uzerinden dogrulanmali. 
(Response bodyde dnen Added Blog ID ile /api/blog/{id} endpoint'ine GET request gnderilerek kayt oluturulduu dorulanabilir.)""","High","Blogs","Story"
"US_039: Bir ynetici olarak API baglantisi zerinden belirtilen id numarasna sahip blog'un bilgilerini gncelleyebilmek istiyorum.","**Role:** Blogs
**Acceptance Criteria:**
- ""/api/updateBlog/{id} endpoint'ine gecerli authorization bilgileri ile dogru (id) ve dogru datalar (title, category_id, description, content) iceren bir PATCH body gnderildiginde dnen status code'in 200, response body'deki remark bilgisinin """"success"""" ve Message bilgisinin de """"Successfully Updated."""" oldugu dogrulanmali.""
- ""/api/updateBlog/{id} endpoint'ine gecerli authorization bilgileri ile dogru (id) ve data icermeyen bir PATCH request gnderildiginde dnen status code'in 203, response body'deki remark bilgisinin """"failed"""" ve message bilgisinin de """"There is no information to update."""" oldugu dogrulanmali.""
- ""/api/updateBlog/{id} endpoint'ine gecerli authorization bilgileri ile kayd olmayan bir (id) ve dogru datalar (title, category_id, description, content) iceren bir PATCH body gnderildiginde dnen status code'in 203, response body'deki remark bilgisinin """"failed"""" ve message bilgisinin de """"There is not blog for this id."""" oldugu, (id) icermeyen ve dogru datalar (title, category_id, description, content) iceren bir PATCH body gnderildiginde de dnen status code'in 203, response body'deki remark bilgisinin """"failed"""" ve message bilgisinin de """"No id"""" oldugu dogrulanmali.""
- ""/api/updateBlog/{id} endpoint'ine gecersiz (invalid token) authorization bilgileri ile dogru (id) ve dogru datalar (title, category_id, description, content) iceren bir PATCH body gnderildiginde dnen status code'in 401 oldugu ve response body'deki message bilgisinin """"Unauthenticated."""" oldugu dogrulanmali""
- /api/updateBlog/{id} endpoint'inden donen response body icindeki Updated Blog Id bilgisinin /api/updateBlog/{id} endpoint'inde yazan id path parametresi ile ayni oldugu dogrulanmali.
- ""API uzerinden gncellenmek istenen blog kaydinin gncellendigi, API uzerinden dogrulanmali.
(Response body'de dnen Updated Blog Id ile /api/blog/{id} endpoint'ine GET request gnderilerek kaydn gncellendii dorulanabilir.)""","High","Blogs","Story"
"US_040: Bir ynetici olarak API baglantisi zerinden belirtilen id numarasna sahip blog bilgilerini silebilmek istiyorum.","**Role:** Blogs
**Acceptance Criteria:**
- ""/api/deleteBlog/{id} endpoint'ine gecerli authorization bilgileri ve dogru (id) iceren bir DELETE request gnderildiginde dnen status code'in 200, response body'deki remark bilgisinin """"success"""" ve Message bilgisinin de """"Successfully Deleted."""" oldugu dogrulanmali.""
- ""/api/deleteBlog/{id} endpoint'ine gecerli authorization bilgileri ve kayd olmayan bir (id) iceren bir DELETE request gnderildiginde dnen status code'in 203, response body'deki remark bilgisinin """"failed"""" ve message bilgisinin de """"There is not blog for this id."""" oldugu, (id) icermeyen bir DELETE request gnderildiginde de dnen status code'in 203, response body'deki remark bilgisinin """"failed"""" ve message bilgisinin de """"No id"""" oldugu dogrulanmali.""
- ""/api/deleteBlog/{id} endpoint'ine gecersiz (invalid token) authorization bilgileri ile dogru (id) iceren bir DELETE request gnderildiginde dnen status code'in 401 oldugu ve response body'deki message bilgisinin """"Unauthenticated."""" oldugu dogrulanmali""
- /api/deleteBlog/{id} endpoint'inden donen response body icindeki Deleted Blog Id bilgisinin /api/deleteBlog/{id} endpoint'inde yazan id path parametresi ile ayni oldugu dogrulanmali.
- ""API uzerinden silinmek istenen blog kaydinin silindigi, API uzerinden dogrulanmali.
(Response body'de dnen Deleted Blog Id ile /api/blog/{id} endpoint'ine GET request gnderilerek kaydn silindii dorulanabilir.)""","High","Blogs","Story"
"US_041: Bir ynetici olarak API balants zerinden blog categories'e eriebilmek istiyorum.","**Role:** ""Blogs Categories""
**Acceptance Criteria:**
- ""/api/blogCategories endpoint'ine gecerli authorization bilgileri ile bir GET request gnderildiginde dnen status code'in 200 ve response body'deki remark bilgisinin """"success"""" oldugu dogrulanmali.""
- id(x) olaninin response body'de donen bilgileri (title, slug, blog_count) dorulanmal.
- ""/api/blogCategories endpoint'ine gecersiz (invalid token) authorization bilgileri ile bir GET request gnderildiginde dnen status code'in 401 ve response body'deki message bilgisinin """"Unauthenticated."""" oldugu dogrulanmali.""","Medium","""Blogs Categories""","Story"
"US_042: Bir ynetici olarak API baglantisi zerinden belirtilen id numarasna sahip blog category'nin detayl bilgilerine erisebilmeliyim.","**Role:** ""Blogs Categories""
**Acceptance Criteria:**
- ""/api/blogCategory/{id} endpoint'ine gecerli authorization bilgileri ve dogru data (id) iceren bir GET request gnderildiginde dnen status code'in 200 ve response body'deki remark bilgisinin """"success"""" oldugu dogrulanmali.""
- Response body icindeki list datalarnn (id, title, slug) ierikleri dorulanmali.
- ""/api/blogCategory/{id} endpoint'ine gecerli authorization bilgileri ve kayd olmayan bir (id) iceren bir GET request gnderildiginde dnen status code'in 203, response body'deki remark bilgisinin """"failed"""" ve message bilgisinin de """"There is not category for this id."""" oldugu, (id) icermeyen bir GET request gnderildiginde de dnen status code'un 203, response body'deki remark bilgisinin """"failed"""" ve message bilgisinin de """"No id"""" oldugu dogrulanmali.""
- ""/api/blogCategory/{id} endpoint'ine gecersiz (invalid token) authorization bilgileri ve dogru data (id) iceren bir GET request gnderildiginde dnen status code'in 401 ve response body'deki message bilgisinin """"Unauthenticated."""" oldugu dogrulanmali.""","Low","""Blogs Categories""","Story"
"US_043: Bir ynetici olarak API balants zerinden yeni bir blog category kayd olusturabilmek istiyorum.","**Role:** ""Blogs Categories""
**Acceptance Criteria:**
- ""/api/addBlogCategory endpoint'ine gecerli authorization bilgileri ve dogru data (title) iceren bir POST body gnderildiginde dnen status code'in 200, response body'deki remark bilgisinin """"success"""" ve Message bilgisinin de """"Successfully Added."""" oldugu dogrulanmali.""
- ""/api/addBlogCategory endpoint'ine gecerli authorization bilgileri ve data icermeyen bir POST request gnderildiginde dnen status code'in 422 oldugu ve response body'deki message bilgisinin """"The title field is required."""" oldugu, daha nce kullanlm title (title) iceren bir POST body gnderildiginde de dnen status code'in 422, olduu ve message bilgisinin de """"The title has already been taken."""" oldugu dogrulanmali.""
- ""/api/addBlogCategory endpoint'ine gecersiz (invalid token) authorization bilgileri ile dogru data (title) iceren bir POST body gnderildiginde dnen status code'in 401 oldugu ve response body'deki message bilgisinin """"Unauthenticated."""" oldugu dogrulanmali""
- ""API uzerinden olusturulmak istenen yeni blog category kaydinin olustugu API uzerinden dogrulanmali. 
(Response bodyde dnen Added Blog Category ID ile /api/blogCategory/{id} endpoint'ine GET request gnderilerek kayt oluturulduu dorulanabilir.)""","High","""Blogs Categories""","Story"
